,name,price,kms_driven,fuel_type,city,year
0,Hyundai Grand i10,4.45,22402,Petrol,Mumbai,2016
1,Maruti Suzuki Alto,2.93,10344,Petrol,Kolkata,2019
2,Tata Safari XZ,22.49,12999,Diesel,Bangalore,2021
3,Maruti Suzuki Ciaz,6.95,45000,Petrol,Thane,2016
4,Jeep Compass Sport,12.0,11193,Petrol,Kolkata,2019
5,Maruti Suzuki Eeco,3.72,42906,Petrol,Chennai,2017
6,Hyundai Creta SX,11.5,66602,Diesel,Mumbai,2017
7,Maruti Suzuki Ertiga,10.39,13189,Petrol,Bangalore,2019
8,Toyota Etios Liva,3.75,67815,Petrol,Mumbai,2013
9,Renault Kwid 1.0,4.25,19509,Petrol,Mumbai,2018
10,Maruti Suzuki Ciaz,6.75,60000,Diesel,Ahmedabad,2017
11,Maruti Suzuki Alto,4.49,3583,Petrol,Bangalore,2019
12,Chevrolet Optra Magnum,3.0,148000,Diesel + 1,Pallikarnai,2007
13,Maruti Suzuki Vitara,9.5,48748,Diesel,Hyderabad,2019
14,Jeep Compass Longitude,13.25,38000,Diesel,Thane,2018
15,Toyota Corolla Altis,9.25,36000,Petrol,Kolkata,2016
16,Hyundai Elite i20,6.75,13747,Petrol,Ahmedabad,2017
17,Mercedes-Benz EQC 400,95.0,3200,Electric,Pune,2022
18,Ford EcoSport Titanium,8.71,12795,Petrol,Chennai,2018
19,Hyundai i10 Magna,3.35,41273,Petrol,Mumbai,2014
20,Hyundai Creta 1.6,9.88,20142,Petrol,Pune,2016
21,Porsche 718 Boxster,1.15,6500,Petrol,Pune,2020
22,Kia Seltos HTE,11.0,47103,Diesel,Thane,2019
23,Maruti Suzuki Ciaz,9.9,7755,Petrol,Mumbai,2020
24,Renault Kwid 1.0,3.45,33513,Petrol,Gurgaon,2019
25,BMW 3 Series,37.49,24848,Diesel,Kolkata,2019
26,Maruti Suzuki Baleno,6.39,34559,Petrol,Delhi,2017
27,Hyundai i20 Sportz,8.9,4000,Petrol,Ahmedabad,2022
28,Ford EcoSport Titanium,6.59,54544,Petrol,Kolkata,2018
29,Maruti Suzuki Wagon,3.92,42247,Petrol,Kolkata,2018
30,Honda Jazz VX,8.0,100000,Diesel,Hyderabad,2018
31,Maruti Suzuki Swift,7.75,69000,Diesel,Hyderabad,2019
32,Tata Nexon XZ,11.52,10422,Petrol,Delhi,2021
33,Audi Q3 35,16.75,52000,Diesel,Mumbai,2014
34,Maruti Suzuki Ciaz,8.5,56255,Petrol,Ahmedabad,2019
35,Hyundai Santro Sportz,5.93,78260,CNG,Delhi,2021
36,Maruti Suzuki Alto,4.15,19970,CNG,Bangalore,2021
37,MG Hector Plus,18.5,9070,Petrol,Ahmedabad,2020
38,Ford Figo Duratec,2.4,73000,Petrol,Thane,2013
39,Audi Q3 2.0,11.99,46336,Diesel,Kolkata,2015
40,Hyundai Creta SX,8.95,57220,Petrol,Thane,2016
41,Honda Jazz ZX,9.68,7096,Petrol,Pune,2021
42,Mercedes-Benz EQC 400,81.0,21500,Electric,Bangalore,2020
43,Hyundai Grand i10,4.93,44045,Petrol,Pune,2015
44,BMW X1 sDrive20d,10.5,70000,Diesel,Kolkata,2013
45,Maruti Suzuki Swift,7.85,32853,Diesel,Thane,2018
46,BMW 5 Series,38.99,26781,Diesel,Kolkata,2017
47,Skoda Superb L&K,31.0,45700,Petrol,Ahmedabad,2021
48,Maruti Suzuki Swift,4.85,62000,Petrol,Thane,2014
49,Maruti Suzuki Wagon,4.35,73500,CNG,Thane,2017
50,Maruti Suzuki Wagon,4.51,74076,CNG,Pune,2017
51,Tata Tiago Revotron,5.45,56355,Petrol,Mumbai,2018
52,Tata Tiago Revotron,4.5,37000,Petrol,Thane,2017
53,Maruti Suzuki Wagon,6.81,22158,CNG,Pune,2021
54,Hyundai Xcent S,3.95,62568,Petrol,Noida,2014
55,Kia Seltos HTK,11.43,19970,Petrol,Pune,2019
56,BMW 5 Series,23.0,73900,Diesel,Ahmedabad,2015
57,Kia Seltos HTE,10.5,37991,Petrol,Thane,2020
58,Hyundai Creta 1.6,12.75,58676,Petrol,Mumbai,2018
59,Hyundai Grand i10,5.99,35104,Petrol,Bangalore,2017
60,Kia Seltos GTX,16.2,51605,Petrol,Pune,2019
61,Maruti Suzuki S-Presso,4.2,17472,Petrol,Delhi,2020
62,Hyundai Elite i20,4.75,80000,Diesel,Delhi,2015
63,Mercedes-Benz GLC 200,66.0,16785,Petrol,Bangalore,2021
64,Mercedes-Benz E-Class E,68.99,3999,Petrol,Bangalore,2020
65,Maruti Suzuki Wagon,4.41,66882,CNG,Pune,2017
66,Audi A4 35,29.5,71235,Diesel,Ahmedabad,2018
67,Chevrolet Cruze LTZ,5.9,56000,Diesel,Ahmedabad,2013
68,Hyundai Grand i10,4.14,74938,Petrol,Delhi,2016
69,Honda City 1.5,2.85,82000,Petrol,Noida,2009
70,Maruti Suzuki Wagon,6.75,57685,CNG,Pune,2021
71,Hyundai Elite i20,7.1,48000,Petrol,Hyderabad,2018
72,Mercedes-Benz C-Class 220,13.95,120000,Diesel,Hyderabad,2013
73,Hyundai Eon Magna,3.2,33146,Petrol,Ahmedabad,2015
